Bệnh,Bài tập
Rối loạn hoảng sợ,"[""""Bài tập hít thở sâu: Làm dịu tâm trí bằng cách tập trung vào những hơi thở chậm và sâu"""", """"Yoga: Kết hợp hơi thở và chuyển động để thư giãn"""", """"Thiền chánh niệm: Giúp giảm lo âu bằng cách sống trọn vẹn trong hiện tại"""", """"Tập thể dục nhịp điệu thường xuyên: Cải thiện tâm trạng và giảm căng thẳng""""]"
Viêm âm đạo,"[""""Bài tập sàn chậu: Tăng cường cơ sàn chậu để giảm khó chịu"""", """"Tránh mặc quần áo bó sát: Ngăn ngừa kích ứng"""", """"Sử dụng đồ lót bằng cotton: Giúp giữ cho vùng kín khô thoáng"""", """"Giữ gìn vệ sinh: Ngăn ngừa nhiễm trùng""""]"
Vấn đề trong thời kỳ mang thai,"[""""Yoga tiền sản: Các bài tập giãn cơ nhẹ nhàng an toàn cho bà bầu"""", """"Đi bộ: Giúp bạn năng động và khỏe mạnh"""", """"Nghiêng xương chậu: Tăng cường cơ lõi"""", """"Bài tập Kegel: Hỗ trợ sức khỏe vùng chậu""""]"
Viêm tụy cấp,"[""""Tránh nâng vật nặng: Ngăn ngừa căng thẳng cho tuyến tụy"""", """"Giãn cơ nhẹ nhàng: Duy trì sự linh hoạt"""", """"Nghỉ ngơi: Cho phép cơ thể hồi phục"""", """"Bài tập thở: Giảm căng thẳng và đau đớn""""]"
Bệnh hen suyễn,"[""""Bài tập thở: Cải thiện chức năng phổi"""", """"Yoga: Kết hợp thở và vận động"""", """"Bơi lội: Bài tập tim mạch cường độ thấp tốt cho phổi"""", """"Tránh tập luyện gắng sức trong thời gian bệnh tái phát: Ngăn ngừa các cơn tấn công""""]"
Viêm dạ dày ruột do nhiễm trùng,"[""""Nghỉ ngơi: Cho phép cơ thể phục hồi"""", """"Đi bộ nhẹ nhàng: Chỉ sau khi các triệu chứng thuyên giảm"""", """"Tập trung vào việc bổ sung nước: Bổ sung chất lỏng trước bất kỳ hoạt động nào"""", """"Tránh tập thể dục gắng sức: Ngăn ngừa tình trạng mất nước trầm trọng hơn""""]"
Viêm xoang cấp tính,"[""""Bài tập thở bằng mũi: Giúp thông thoáng đường thở"""", """"Yoga nhẹ nhàng: Thúc đẩy dẫn lưu dịch mũi"""", """"Đi bộ: Cường độ thấp, cải thiện tuần hoàn máu"""", """"Tránh tập thể dục trong thời tiết lạnh: Ngăn ngừa viêm xoang""""]"
Nhiễm trùng giác mạc,"[""""Cho mắt nghỉ ngơi: Tránh các bài tập thể dục cường độ cao trước màn hình"""", """"Đi bộ nhẹ nhàng: An toàn và không gây căng thẳng"""", """"Tập giãn cơ trong nhà: Hạn chế tiếp xúc với ánh sáng"""", """"Tránh bơi lội: Ngăn ngừa các tác nhân gây bệnh lây truyền qua đường nước""""]"
Lạm dụng cần sa,"[""""Bài tập tim mạch: Tăng cường dopamine và cải thiện tâm trạng"""", """"Yoga: Cải thiện sự tập trung và giảm cảm giác thèm muốn"""", """"Tập luyện sức mạnh: Phục hồi sức khỏe thể chất"""", """"Hoạt động nhóm: Tăng cường động lực xã hội và tính kỷ luật""""]"
Viêm bao hoạt dịch,"[""""Bài tập vận động nhẹ nhàng: Ngăn ngừa cứng khớp"""", """"Bài tập tim mạch cường độ thấp: Như bơi lội hoặc đạp xe"""", """"Bài tập giãn cơ: Giữ cho các vùng bị ảnh hưởng linh hoạt"""", """"Tránh gây áp lực lên khớp: Sử dụng tư thế đúng và đệm lót""""]"
dày sừng quang hóa,"[""""Tập luyện trong nhà: Tránh tiếp xúc trực tiếp với ánh nắng mặt trời"""", """"Giãn cơ nhẹ nhàng: Giữ cho da thoải mái"""", """"Các hoạt động ít đổ mồ hôi: Ngăn ngừa kích ứng da"""", """"Đi bộ ở những nơi có bóng râm: Nếu cần vận động ngoài trời""""]"
Bệnh phổi tắc nghẽn mãn tính (COPD),"[""""Thở bằng môi mím: Cải thiện việc sử dụng oxy"""", """"Đi bộ: Tăng sức bền một cách an toàn"""", """"Đạp xe tại chỗ: Giảm áp lực lên phổi"""", """"Bài tập phục hồi chức năng phổi: Các phác đồ được bác sĩ hướng dẫn""""]"
Thoái hóa cột sống,"[""""Bài tập giãn cơ cổ và lưng: Cải thiện khả năng vận động"""", """"Bài tập chỉnh tư thế: Giảm căng thẳng"""", """"Thái cực quyền hoặc yoga: Cân bằng và vận động nhẹ nhàng"""", """"Tránh các môn thể thao cường độ cao: Ngăn ngừa áp lực lên khớp""""]"
Chấn thương cánh tay,"[""""Vật lý trị liệu: Các bài tập phục hồi có hướng dẫn"""", """"Bài tập vận động khớp: Lấy lại sự linh hoạt"""", """"Tăng cường sức mạnh đẳng trương: Xây dựng cơ bắp mà không cần vận động"""", """"Tránh lạm dụng: Ưu tiên nghỉ ngơi và điều chỉnh nhịp độ""""]"
Hội chứng đau vùng phức hợp,"[""""Kéo giãn nhẹ nhàng: Ngăn ngừa co cứng khớp"""", """"Bài tập giảm mẫn cảm: Khôi phục khả năng chịu đựng của dây thần kinh"""", """"Liệu pháp gương: Cải thiện sự phối hợp giữa não và cơ"""", """"Liệu pháp thủy trị liệu: Các bài tập dưới nước ít gây đau""""]"
