Bệnh,Thuốc
"Rối loạn hoảng sợ,""['Thuốc SSRI (ví dụ: Sertraline, Fluoxetine)', 'Thuốc Benzodiazepine (ví dụ: Clonazepam, Alprazolam)', 'Thuốc SNRI (ví dụ: Venlafaxine)', 'Thuốc chẹn beta', 'Liệu pháp nhận thức hành vi (CBT)']"""
"Viêm âm đạo,""['Metronidazole', 'Clindamycin', 'Fluconazole', 'Kem Hydrocortisone', 'Thực phẩm chức năng bổ sung men vi sinh']"""
"Vấn đề trong thời kỳ mang thai,""['Vitamin dành cho bà bầu', 'Thuốc bổ sung sắt', 'Thuốc hạ huyết áp (ví dụ: Labetalol)', 'Insulin (cho bệnh tiểu đường thai kỳ)', 'Axit folic']"""
"Viêm tụy cấp,""['Truyền dịch tĩnh mạch', 'Thuốc giảm đau (ví dụ: Morphine)', 'Thuốc kháng sinh (nếu bị nhiễm trùng)', 'Liệu pháp thay thế enzyme', 'Nhịn ăn/Không ăn uống']"""
"Bệnh hen suyễn,""['Corticosteroid dạng hít (ví dụ: Fluticasone)', 'Thuốc chủ vận beta (ví dụ: Albuterol)', 'Thuốc điều chỉnh leukotriene (ví dụ: Montelukast)', 'Thuốc kháng cholinergic (ví dụ: Ipratropium)', 'Omalizumab']"""
"Viêm dạ dày ruột do nhiễm trùng,""['Muối bù nước đường uống (ORS)', 'Thuốc kháng sinh (ví dụ: Ciprofloxacin, nếu do vi khuẩn)', 'Thuốc chống nôn (ví dụ: Ondansetron)', 'Probiotics', 'Loperamide (nếu thích hợp)']"""
"Viêm xoang cấp tính,""['Thuốc xịt mũi nước muối sinh lý', 'Thuốc thông mũi (ví dụ: Pseudoephedrine)', 'Corticosteroid dạng xịt mũi', 'Thuốc kháng sinh (nếu nhiễm khuẩn)', 'Acetaminophen để giảm đau']"""
"Nhiễm trùng giác mạc,""['Thuốc nhỏ mắt kháng sinh (ví dụ: Ciprofloxacin)', 'Thuốc nhỏ mắt kháng virus (ví dụ: Ganciclovir)', 'Thuốc nhỏ mắt kháng nấm (ví dụ: Natamycin)', 'Thuốc nhỏ mắt bôi trơn', 'Thuốc steroid (trong một số trường hợp)']"""
"Lạm dụng cần sa,""['Liệu pháp hành vi', 'Liệu pháp nhận thức hành vi', 'Liệu pháp tăng cường động lực', 'Không có thuốc được FDA phê duyệt', 'Nhóm hỗ trợ (ví dụ: NA)']"""
"Viêm bao hoạt dịch,""['Thuốc kháng viêm không steroid (ví dụ: Ibuprofen)', 'Tiêm corticosteroid', 'Chườm đá', 'Vật lý trị liệu', 'Thuốc kháng sinh (nếu viêm bao hoạt dịch nhiễm trùng)']"""
"dày sừng quang hóa,""['5-fluorouracil bôi ngoài da', 'Kem Imiquimod', 'Gel Diclofenac', 'Liệu pháp lạnh', 'Liệu pháp quang động']"""
"Bệnh phổi tắc nghẽn mãn tính (COPD),""['Thuốc giãn phế quản (ví dụ: Salbutamol)', 'Corticosteroid dạng hít', 'Thuốc ức chế phosphodiesterase-4 (ví dụ: Roflumilast)', 'Liệu pháp oxy', 'Thuốc kháng sinh trong giai đoạn cấp tính']"""
