Bệnh,Biện pháp phòng ngừa_1,Biện pháp phòng ngừa_2,Biện pháp phòng ngừa_3,Biện pháp phòng ngừa_4
Rối loạn hoảng sợ,Thực hành hít thở sâu,Tránh caffeine,Tuân thủ kế hoạch điều trị,Hãy tìm kiếm sự hỗ trợ từ những người thân yêu.
Viêm âm đạo,Hãy mặc đồ lót bằng cotton thoáng khí.,Tránh thụt rửa âm đạo,Duy trì vệ sinh vùng kín,Tránh sử dụng các sản phẩm vệ sinh có mùi thơm.
Vấn đề trong thời kỳ mang thai,Tham gia các buổi khám thai định kỳ.,Tránh rượu và thuốc lá.,Ăn uống cân bằng,Hãy nghỉ ngơi đầy đủ.
Viêm tụy cấp,Tránh uống rượu,Ăn chế độ ăn ít chất béo,Hãy giữ cho cơ thể đủ nước.,Tuân thủ nghiêm ngặt lời khuyên của bác sĩ.
Bệnh hen suyễn,Tránh các tác nhân gây kích thích đã biết,Sử dụng thuốc hít theo chỉ định.,Theo dõi lưu lượng đỉnh,Luôn mang theo bình xịt khẩn cấp.
Viêm dạ dày ruột do nhiễm trùng,Hãy rửa tay thường xuyên.,Tránh dùng chung dụng cụ ăn uống,Hãy uống nước sạch.,Tránh thức ăn đường phố
Viêm xoang cấp tính,Sử dụng thuốc xịt mũi nước muối sinh lý,Hãy giữ cho cơ thể đủ nước.,Tránh các chất gây dị ứng,Sử dụng khăn ấm để chườm.
Nhiễm trùng giác mạc,Tránh chạm vào mắt,Sử dụng thuốc nhỏ mắt theo toa,Đeo kính râm,Không nên dùng chung khăn tắm hoặc mỹ phẩm.
Lạm dụng cần sa,Tránh áp lực từ bạn bè,Hãy tìm kiếm sự tư vấn.,Xây dựng thói quen lành mạnh,Tránh các môi trường gây kích hoạt
Viêm bao hoạt dịch,Hãy nghỉ ngơi cho khớp bị ảnh hưởng.,Đắp túi đá lạnh,Sử dụng hỗ trợ khớp,Tránh căng thẳng lặp đi lặp lại
dày sừng quang hóa,Tránh tiếp xúc với ánh nắng mặt trời,Hãy sử dụng kem chống nắng phổ rộng.,Mặc quần áo bảo hộ,Khám da liễu định kỳ
COPD,Tránh hút thuốc,Sử dụng thuốc hít theo đúng chỉ định.,Tránh xa ô nhiễm không khí,Hãy tiêm phòng cúm.
Thoái hóa cột sống,Duy trì tư thế đúng,Tập thể dục thường xuyên,Sử dụng ghế công thái học,Tránh nâng vật nặng.
Chấn thương cánh tay,Cố định cánh tay,Đắp gạc lạnh,Nâng cánh tay lên,Hãy tìm đến cơ sở y tế nếu bị sưng.
Hội chứng đau vùng phức hợp,Tuân theo liệu trình vật lý trị liệu,Quản lý căng thẳng,Uống thuốc theo toa,Tránh gây tổn thương cho chi bị ảnh hưởng.
Chấn thương vùng thân,Chườm đá hoặc chườm nóng,Nghỉ ngơi đầy đủ,Hãy sử dụng đai hỗ trợ nếu được khuyên dùng.,Tránh các hoạt động gắng sức
Đau âm hộ,Mặc quần áo rộng rãi bằng vải cotton.,Tránh sử dụng các sản phẩm có mùi thơm.,Sử dụng kem bôi theo chỉ định.,Quản lý mức độ căng thẳng
Chấn động não,Hãy nghỉ ngơi và tránh xa màn hình.,Tránh các hoạt động thể chất,Theo dõi các triệu chứng,Tái khám với bác sĩ thần kinh.
Hạ đường huyết,Ăn nhiều bữa nhỏ thường xuyên.,Mang theo viên glucose,Tránh bỏ bữa,Theo dõi mức đường huyết
Thoát vị hoành,Ăn nhiều bữa nhỏ thường xuyên.,Tránh nằm xuống sau khi ăn.,Tránh đồ ăn cay,Duy trì cân nặng hợp lý
Dị ứng,Bôi calamine,Băng bó vùng bị thương.,Dùng đá để chườm lên vùng bị ngứa.,Tránh các chất gây dị ứng đã biết.
Co thắt phế quản cấp tính,Tránh không khí lạnh,Sử dụng thuốc hít giãn phế quản.,Tránh các chất gây dị ứng,Theo dõi nhịp thở
Bệnh thoái hóa đĩa đệm,Duy trì cân nặng hợp lý,Tránh nâng vật nặng.,Tập các bài tập lưng,Sử dụng đai hỗ trợ thắt lưng
Đau sau phẫu thuật,Uống thuốc giảm đau theo đúng chỉ định.,Tránh căng thẳng thể chất,Giữ khu vực phẫu thuật sạch sẽ.,Tham dự các cuộc hẹn tái khám.
Chấn thương ở chân,Nâng cao chân lên,Đắp túi đá lạnh,Tránh gây nặng nề,Hãy dùng nạng nếu được khuyên dùng.
Bệnh gout,Tránh các thực phẩm giàu purine.,Hãy giữ cho cơ thể đủ nước.,Hạn chế uống rượu,Uống thuốc theo đúng chỉ định.
Viêm tai giữa,Tránh để nước vào tai,Uống thuốc kháng sinh theo đúng chỉ định.,Dùng khăn ấm chườm,Tái khám với bác sĩ chuyên khoa Tai Mũi Họng.
Tổn thương thận cấp tính,Tránh dùng thuốc NSAID.,Hãy giữ cho cơ thể đủ nước.,Theo dõi lượng chất lỏng nạp vào cơ thể,Tuân theo chế độ ăn kiêng cho người bệnh thận.
Dọa sẩy thai,Uống thuốc theo toa,Tránh căng thẳng và nâng vật nặng.,Khám sức khỏe định kỳ.,Nghỉ ngơi theo khuyến cáo.
Bệnh về nướu,Duy trì vệ sinh răng miệng,Dùng chỉ nha khoa hàng ngày,Tránh hút thuốc,Đi khám nha sĩ thường xuyên
Xuất huyết đường tiêu hóa,Tránh dùng thuốc NSAID.,Ăn nhiều thức ăn mềm và nhạt.,Hạn chế uống rượu,Tái khám với bác sĩ chuyên khoa tiêu hóa.
Rối loạn lo âu,Thực hành các kỹ thuật thư giãn,Tránh các chất kích thích như caffeine.,Duy trì giấc ngủ đều đặn,Hãy tìm đến tư vấn tâm lý nếu cần.
Viêm kết mạc do dị ứng,Tránh dụi mắt,Sử dụng thuốc nhỏ mắt kháng histamine.,Hãy giữ gìn môi trường sạch sẽ.,Tránh các chất gây dị ứng đã biết.
Phản ứng thuốc,Ngừng sử dụng thuốc ngay lập tức.,Hãy tham khảo ý kiến ​​bác sĩ,Sử dụng thuốc kháng histamine nếu được bác sĩ kê đơn.,Theo dõi xem các triệu chứng có trở nặng hay không.
Thoái hóa điểm vàng,Đeo kính râm,Ăn rau lá xanh,Tránh hút thuốc,Khám mắt định kỳ
Viêm phổi,Uống hết liệu trình thuốc kháng sinh.,Tránh hút thuốc,Nghỉ ngơi đầy đủ,Hãy giữ cho cơ thể đủ nước.
U nang âm đạo,Duy trì vệ sinh vùng kín,Tránh mặc quần áo bó sát.,Ngâm mình trong nước ấm.,Hãy làm theo lời khuyên của bác sĩ.
Hội chứng ống cổ tay,Hãy nghỉ ngơi thường xuyên.,Sử dụng nẹp cổ tay,Tránh các động tác lặp đi lặp lại.,Thực hiện các bài tập giãn cơ
Rối loạn mũi,Tránh ngoáy mũi,Giữ cho đường mũi luôn ẩm,Sử dụng thuốc xịt nước muối sinh lý.,Tránh các chất gây kích ứng và chất gây dị ứng.
Sâu răng,Đánh răng hai lần mỗi ngày,Hạn chế lượng đường nạp vào cơ thể.,Đi khám nha sĩ thường xuyên,Dùng chỉ nha khoa hàng ngày
Bệnh tim do tăng huyết áp,Giảm lượng muối tiêu thụ,Theo dõi huyết áp,Tập thể dục thường xuyên,Uống thuốc hạ huyết áp
Dị ứng theo mùa (sốt cỏ khô),Hãy đóng kín cửa sổ trong thời gian phấn hoa cao điểm.,Tắm sau khi ở ngoài trời.,Sử dụng máy lọc không khí,Uống thuốc kháng histamine
Nhiễm nấm tóc,Giữ cho da đầu khô ráo và sạch sẽ.,Tránh dùng chung đồ dùng cá nhân,Sử dụng dầu gội chống nấm,Duy trì vệ sinh đúng cách
Rối loạn trực tràng,Ăn nhiều chất xơ,Uống nhiều nước,Tránh rặn mạnh khi đi đại tiện.,Sử dụng bồn ngâm.
Mụn lẹo,Đắp gạc ấm,Tránh chạm hoặc bóp.,Duy trì vệ sinh vùng mí mắt,Tạm thời ngừng trang điểm mắt.
Đau tim,Uống thuốc theo toa,Tránh căng thẳng,Ăn uống lành mạnh cho tim mạch,Theo dõi cholesterol và huyết áp.
Ngưng thở khi ngủ do tắc nghẽn đường thở (OSA),Duy trì cân nặng hợp lý,Sử dụng máy CPAP nếu được chỉ định.,Tránh uống rượu trước khi đi ngủ.,Ngủ nghiêng sang một bên
Bệnh vẩy nến,Giữ ẩm cho da.,Tránh các tác nhân gây kích thích như căng thẳng.,Sử dụng kem bôi theo chỉ định.,Tránh gãi
Viêm khớp háng,Hãy tập các bài tập nhẹ nhàng.,Sử dụng dụng cụ hỗ trợ đi bộ nếu cần.,Duy trì cân nặng hợp lý,Uống thuốc chống viêm
Khủng hoảng hồng cầu hình liềm,Hãy giữ cho cơ thể đủ nước.,Tránh nhiệt độ quá cao hoặc quá thấp.,Ngăn ngừa nhiễm trùng,Uống thuốc theo toa đều đặn
Viêm tai ngoài,Tai khô sau khi bơi,Tránh nhét vật thể vào tai.,Sử dụng thuốc nhỏ tai theo toa,Tránh các nguồn nước bẩn
Viêm tiểu phế quản cấp tính,Giữ cho trẻ đủ nước,Sử dụng máy tạo độ ẩm,Tránh tiếp xúc với khói,Theo dõi nhịp thở
Nhiễm trùng da mủ,Giữ vết thương sạch sẽ và khô ráo.,Tránh gãi,Uống thuốc kháng sinh theo toa,Che phủ vùng bị nhiễm trùng
Viêm dạ dày ruột không do nhiễm trùng,Tránh các loại thực phẩm gây kích ứng.,Hãy giữ cho cơ thể đủ nước.,Ăn uống nhạt nhẽo,Hãy nghỉ ngơi thật tốt!
Tăng sản tuyến tiền liệt lành tính (BPH),Hạn chế uống nước vào buổi tối,Tránh rượu và caffeine,Làm rỗng bàng quang hoàn toàn,Tái khám với bác sĩ tiết niệu.
Hẹp ống sống,Tránh các hoạt động có tác động mạnh,Sử dụng dụng cụ hỗ trợ đi bộ,Vật lý trị liệu,Uống thuốc chống viêm
Viêm phế quản cấp tính,Tránh hút thuốc,Uống nước ấm,Sử dụng thuốc giảm ho nếu cần.,Nghỉ ngơi và hồi phục sức khỏe
bệnh viêm thanh quản cấp tính,Sử dụng không khí được làm ẩm,Giữ cho trẻ bình tĩnh,Khuyến khích uống nhiều nước,Hãy tìm kiếm sự trợ giúp y tế nếu bạn gặp khó khăn khi thở.
Kinh nguyệt quá nhiều không rõ nguyên nhân,Hãy sử dụng biện pháp bảo vệ vệ sinh.,Theo dõi lượng máu mất,chế độ ăn giàu sắt,Tham khảo ý kiến ​​bác sĩ phụ khoa
Tổn thương màng nhĩ,Tránh để nước vào tai.,Không được nhét vật thể vào tai.,Sử dụng thuốc nhỏ tai theo chỉ định.,Tiếp tục khám chuyên khoa Tai Mũi Họng.
Có máu trong nước tiểu (tạm thời hoặc lành tính),Hãy giữ cho cơ thể đủ nước.,Tránh các hoạt động gắng sức,Tránh dùng một số loại thuốc nhất định (theo khuyến cáo).,Tái khám với bác sĩ.
Cảm lạnh thông thường,Uống nhiều nước,Hãy nghỉ ngơi thật tốt!,Sử dụng thuốc thông mũi,Thực hành vệ sinh tốt
Trầm cảm,Duy trì các mối liên hệ xã hội,Tuân thủ kế hoạch điều trị,Tập thể dục thường xuyên,Tránh xa rượu và ma túy.
Chu kỳ kinh nguyệt không đều không rõ nguyên nhân,Ghi nhật ký kinh nguyệt,Duy trì cân nặng hợp lý,Giảm căng thẳng,Hãy tham khảo ý kiến ​​bác sĩ phụ khoa.
Tâm thần phân liệt,Tuân thủ việc dùng thuốc.,Tránh lạm dụng chất gây nghiện,Tham gia các buổi trị liệu,Xây dựng mạng lưới hỗ trợ
Nhiễm trùng huyết,Cần được chăm sóc y tế khẩn cấp.,Tuân thủ phác đồ điều trị kháng sinh.,Theo dõi nhiệt độ và các chỉ số sinh tồn.,Duy trì vệ sinh tốt
Viêm túi mật,Tránh các loại thực phẩm nhiều chất béo.,Hãy giữ cho cơ thể đủ nước.,Theo dõi bằng hình ảnh/xét nghiệm.,Uống thuốc kháng sinh theo đúng chỉ định.
Viêm bàng quang,Uống nước ép nam việt quất hoặc nước lọc.,Đi tiểu thường xuyên,Tránh các chất gây kích ứng như caffeine.,Lau từ trước ra sau
Bệnh trĩ,Hãy ăn các thực phẩm giàu chất xơ.,Tránh ngồi lâu,Hãy giữ cho cơ thể đủ nước.,Sử dụng bồn ngâm.
Viêm da tiếp xúc,Nhận biết và tránh các chất gây dị ứng,Hãy sử dụng các sản phẩm không chứa hương liệu.,Thoa kem dưỡng da làm dịu da,Mang găng tay khi cần thiết.
Nhịp tim chậm xoang,Tránh gắng sức quá mức,Theo dõi tim mạch thường xuyên,Tái khám với bác sĩ tim mạch.,Quản lý cân bằng điện giải
Viêm vùng chậu,Hoàn thành toàn bộ liệu trình kháng sinh,Tránh quan hệ tình dục trong suốt thời gian điều trị.,Thực hành tình dục an toàn,Tham dự các cuộc hẹn tái khám.
Bệnh gan,Tránh uống rượu,Hãy tuân theo chế độ ăn tốt cho gan.,Hãy tiêm phòng viêm gan.,Theo dõi các xét nghiệm chức năng gan
Táo bón mãn tính,Tăng cường lượng chất xơ,Tập thể dục thường xuyên,Hãy giữ cho cơ thể đủ nước.,Tránh trì hoãn việc đi đại tiện.
polyp da,Tránh gây kích ứng hoặc tổn thương vùng da đó.,Kích thước và hình thức của màn hình,Đừng tự gỡ bỏ,Hãy đi khám bác sĩ.
Viêm dây thần kinh cánh tay,Tránh nâng vật nặng,Vật lý trị liệu,Kiểm soát cơn đau bằng thuốc.,Hãy nghỉ ngơi đầy đủ.
Viêm thực quản,Tránh đồ ăn cay và chua.,Ăn các bữa ăn nhỏ hơn,Ngồi thẳng lưng sau khi ăn.,Tuân thủ theo chỉ định của bác sĩ.
Viêm túi thừa,Ăn ít chất xơ trong thời gian bùng phát bệnh.,Hãy giữ cho cơ thể đủ nước.,Uống thuốc kháng sinh nếu được bác sĩ kê đơn.,Nên tránh ăn các loại hạt nếu được khuyên dùng.
bong gân hoặc căng cơ,Hãy nghỉ ngơi khu vực đó.,Đắp túi đá lạnh,Băng ép,Nâng cao chi
Đau bụng kinh vô căn,Sử dụng miếng đệm nhiệt,Dùng thuốc chống co thắt/thuốc kháng viêm không steroid (NSAIDs),Tập thể dục thường xuyên,Tránh căng thẳng
Rối loạn chức năng ống Eustachian (Rối loạn tai),Tránh đi máy bay nếu bị cảm lạnh.,Sử dụng thuốc thông mũi,Thực hiện nghiệm pháp Valsalva,Hãy giữ cho cơ thể đủ nước.
Viêm ruột thừa,Tránh dùng thuốc nhuận tràng.,Hãy tìm kiếm sự chăm sóc y tế khẩn cấp.,Không ăn hoặc uống trước khi phẫu thuật.,Hãy làm theo hướng dẫn sau phẫu thuật.
chứng nôn nghén nặng,Ăn nhiều bữa nhỏ thường xuyên.,Hãy giữ cho cơ thể đủ nước.,Tránh các mùi mạnh.,Uống thuốc chống buồn nôn theo chỉ định của bác sĩ.
Nhiễm trùng đường tiết niệu,Uống nhiều nước,Đi tiểu sau khi quan hệ tình dục,Lau từ trước ra sau,Hoàn thành liệu trình kháng sinh
Rối loạn thần kinh ngoại biên,Tránh chấn thương do sử dụng lặp đi lặp lại,Sử dụng các công cụ tiện dụng,Bổ sung vitamin nhóm B nếu bị thiếu.,Hãy làm theo lời khuyên của bác sĩ thần kinh.
U nang bã nhờn,Giữ khu vực sạch sẽ,Tránh bóp,Đắp gạc ấm,Nếu cần hãy nhờ bác sĩ dẫn lưu dịch.
Sảy thai tự nhiên,Hãy tìm kiếm sự hỗ trợ về mặt tinh thần.,Nghỉ ngơi đầy đủ,Tránh các hoạt động gắng sức,Tái khám định kỳ.
Sỏi mật,Tránh các loại thực phẩm nhiều chất béo.,Duy trì cân nặng hợp lý,Ăn uống đều đặn,Theo dõi để đánh giá phẫu thuật nếu cần thiết.
Bệnh đa xơ cứng,Tránh quá nhiệt,Tuân thủ lịch dùng thuốc.,Hãy duy trì hoạt động thể chất.,Hãy nghỉ ngơi khi cần thiết.
Đau thắt ngực,Tránh gắng sức quá mức,Uống nitroglycerin theo đúng chỉ định.,Quản lý căng thẳng,Tránh tiếp xúc với nhiệt độ lạnh
rối loạn sắc tố da,Sử dụng kem chống nắng hàng ngày,Tránh các chất gây kích ứng da.,Tuân thủ các phương pháp điều trị da liễu,Hãy giữ cho cơ thể đủ nước.
rối loạn nhân cách,Tuân theo kế hoạch trị liệu tâm lý,Tránh sử dụng chất gây nghiện,Xây dựng các mối quan hệ lành mạnh,Duy trì thói quen thường nhật.
Viêm họng do liên cầu khuẩn,Hoàn thành liệu trình kháng sinh đầy đủ,Tránh dùng chung dụng cụ ăn uống,Hãy nghỉ ngơi đầy đủ.,Uống nước ấm
Khuyết tật phát triển,Tuân theo kế hoạch giáo dục cá nhân,Khuyến khích thói quen có cấu trúc.,Liệu pháp thường xuyên,Cung cấp sự củng cố tích cực
Đau lưng mãn tính,Duy trì tư thế đúng,Giãn cơ thường xuyên,Sử dụng đồ nội thất tiện dụng,Tránh nâng vật nặng.
Suy tim,Theo dõi lượng chất lỏng nạp vào cơ thể,Tuân thủ chế độ ăn ít muối,Uống thuốc theo toa.,Theo dõi cân nặng hàng ngày
Viêm kết mạc,Sử dụng thuốc nhỏ mắt theo toa,Tránh chạm/dụi mắt,Hãy rửa tay thường xuyên.,Không dùng chung khăn tắm
Thoát vị đĩa đệm,Tránh nâng vật nặng.,Tuân theo liệu trình vật lý trị liệu,Hãy giữ tư thế đúng,Uống thuốc theo toa.
hăm tã,Giữ khu vực khô ráo,Thay tã thường xuyên,Thoa kem bảo vệ da.,Tránh sử dụng các sản phẩm có mùi thơm.
